content,brand,model,score,sentiment_original,neg,neu,pos,compound,sentiment_vader
"Mały, wąski, oddałem do sklepu, mogłem, bo zamówiłem przez internet. Wolałem dołożyć 600 zł i kupić iPhone 12, który ma większy ekran, a dodam, że ja używałem poprzedniego iPhone 7 przez 3,5 roku, więc w moim przypadku decyzja jest na min. 3 lata lub dłużej i teraz jestem zadowolony. Polecam iPhone 12 z większym ekranem 6.1 cala :)",Apple,iPhone12‌Pro256GB(niebieski),10,N,0.0,0.95,0.05,0.4588,P
I do not recommend Buy from this store. The iPhone is not original. There are many technical problems that have been returned and now in maintenance.,Apple,iPhone12‌Pro256GB(niebieski),10,N,0.227,0.773,0.0,-0.6977,N
"Telefon nie chciał się włączyć, udało się to za pomocą podłączenia do komputera. Sam telefon po dwóch dniach zaczął się grzać i wyłączać bez możliwości włączenia. Telefon został wysłany do sprzedawcy, a firma wysłała go do serwisu z naprawa. Już 3 tydzień czekam na telefon, wszystkiego trzeba dowiadywać się samemu, sprzedawca nie wykazuje zainteresowania tym tematem. Nie polecam nikomu lepiej dołożyć trochę i mieć dobry telefon.Zobaczymy jak to się zakończy narazie nie mam kasy ani telefonu.",Apple,iPhone12‌Pro256GB(niebieski),20,N,0.046,0.954,0.0,-0.5574,N
"Czekacie na moją opinię.
A ja od 17 marca czekam na wysyłkę.
Dziś ( 22 marca) dowiaduję się , że macie towar i wysyłacie.
Kpina. Zapłacone w dniu zamówienia!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Ostatnie raz u was. 
Pójdę do Media Markt i kupię od ręki w tym samym dniu.
pozdrawiam",Apple,iPhone12‌Pro256GB(niebieski),20,N,0.0,1.0,0.0,0.0,P
"Produkt ok tylko sklep wysyła telefon za prawie 6 tys kurierem który rzucił telefon na beton posesji bez żadnego potwierdzenia trochę to słabe zwłaszcza ze nie był zabezpieczony, dobrze ze widziałem to z okna, bo zabrać paczkę mógł każdy z ulicy, a wystarczyło wysłać za potwierdzeniem odbioru raczej już nic tutaj nie kupię",Apple,iPhone12‌Pro256GB(niebieski),40,N,0.0,0.959,0.041,0.296,P
Tel ogólnie ok ale nie za taka cenę . Nie kupił bym ponownie przesiadłem się z iPhone 7 plus i żałuje. Tel jest mniejszy i bateria jest słabiutka nic szczególnego.,Apple,iPhone12‌Pro256GB(niebieski),40,N,0.0,0.929,0.071,0.296,P
"Niestety ale zawiodłam się na maxa .. zamówiłam dwa telefony o wartości około 12 tys , a towar był tak byle jak zapakowany żadnej naklejki „ nie rzucać „ nic . Owinięte raz folia bąbelkową i folia z firmy kurierskiej DPD . Mało tego dostałam jeden telefon z uszkodzeniem fabrycznym .",Apple,iPhone12‌Pro256GB(niebieski),60,P,0.0,1.0,0.0,0.0,P
Działa jak to iphone. W pozycji horyzontalnej nie rozpoznaje twarzy! Brak prostego sposobu wyłączania - wiecznie chodzi więc i bateria szybciej padnie. Brak czytnika linii papilarnych więc jak jesteś w masce to pozostaje wklepanie kodu PIN!. Waga i wymiary cegły z ostrymi kantami więc bez etui nosić w kieszeni się nie da. Lepiej kupić 13 mini mimo braku obiektywu 2x i mniejszej baterii. Cena za dodatkową pamięć jest absurdalna. Jak ktoś nie jest przyzwyczajony do jabłuszka i małego telefonu kupi androidowy odpowiednik za 1/3 ceny.,Apple,iPhone12‌Pro256GB(niebieski),70,P,0.0,1.0,0.0,0.0,P
"Jakość wykonania dobra, chyba proces przeniesienia zawartości starego Iphona na nowy jest zawodny bo po jego wykonaniu zgodnie z wyświetlana instrukcja tel się zawiesił i trzeba było resetować do ustawień fabrycznych",Apple,iPhone12‌Pro256GB(niebieski),70,P,0.107,0.893,0.0,-0.5574,N
"Przesiadlem sie z 11 Pro Max na 12 Pro Max i mowiac szczerze zadna roznica!! Nic nowego poza tym, ze 11 mial lepiej trzymajaca baterie!!",Apple,iPhone12‌Pro256GB(niebieski),70,P,0.0,1.0,0.0,0.0,P
